"relative href","rounded-lg src","flex-shrink","truncate","text-primary","text-primary href"
"https://lovable.dev/projects/81cd9e5f-e6db-48eb-a290-e84e9d9ed83d","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview--6d336e22-579b-4b48-b4ad-4f498d6fc98a.lovable.app-1741235306995.png&w=3840&q=75","cyborg-invaders-arcade-40","Edited","about 18 hours ago",""
"https://lovable.dev/projects/64d0736f-2142-45b2-8b07-ea2836f6c0c1","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-b83a22b2--64d0736f-2142-45b2-8b07-ea2836f6c0c1.lovable.app-1741319835085.png&w=3840&q=75","seo-sea-guru","Edited","about 19 hours ago",""
"https://lovable.dev/projects/e2bf1a4e-6b67-4e41-ab8e-fd5f88ff2f51","","seobiz-harmony","Edited","about 19 hours ago",""
"https://lovable.dev/projects/99e0992d-4902-4898-be00-ab595f12b485","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-edb7d90d--99e0992d-4902-4898-be00-ab595f12b485.lovable.app-1741319190869.png&w=3840&q=75","rhyme-battle-nft-collection","Edited","about 19 hours ago",""
"https://lovable.dev/projects/ae3da40d-2083-4d2e-9b09-65fff595a17b","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview--ae3da40d-2083-4d2e-9b09-65fff595a17b.lovable.app-1741315579224.png&w=3840&q=75","data-pioneer-api","Edited","about 20 hours ago",""
"https://lovable.dev/projects/cf013fe1-750f-43da-b0a9-893f70640e1f","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-26ea0d10--cf013fe1-750f-43da-b0a9-893f70640e1f.lovable.app-1741226658658.png&w=3840&q=75","fixie-future-framework-67","Edited","2 days ago",""
"https://lovable.dev/projects/b5c096d1-2bb4-4b85-93aa-71b8c63fe488","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-f7ec430a--b5c096d1-2bb4-4b85-93aa-71b8c63fe488.lovable.app-1741217880804.png&w=3840&q=75","appforge-connector","Edited","2 days ago",""
"https://lovable.dev/projects/447857a4-9be2-420e-ac26-9af8989ed1f4","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview--447857a4-9be2-420e-ac26-9af8989ed1f4.lovable.app-1741150269928.png&w=3840&q=75","beauty-buzz-reviews","Edited","3 days ago",""
"https://lovable.dev/projects/fd709cdb-20be-426b-981b-155c8194a07b","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-4bb20ddf--eca0bf2f-f53d-46d3-9662-bb57c1dc8439.lovable.app-1735418226856.png&w=3840&q=75","fixie-future-framework-21","Edited","3 days ago",""
"https://lovable.dev/projects/0e8bff4a-e99f-4113-80c1-7c6ed9bcab98","https://lovable.dev/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fgpt-engineer-screenshots%2Fid-preview-0b9c1ef3--0e8bff4a-e99f-4113-80c1-7c6ed9bcab98.lovable.app-1740483098561.png&w=3840&q=75","profile-portal-breeze","Edited","4 days ago",""
